City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
2,West Wendover,US,78.01,few clouds,40.7391,-114.0733,"Motel 6 Wendover, UT"
3,Butaritari,KI,82.09,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
10,Jamestown,US,69.39,moderate rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
11,Didsbury,GB,67.8,heavy intensity rain,53.417,-2.2315,Eleven Didsbury Park
14,Rikitea,PF,73.27,few clouds,-23.1203,-134.9692,People ThankYou
15,Kibala,TD,70.09,light rain,9.1104,18.3463,Prasant Hotels
17,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
21,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Nome,US,67.15,broken clouds,64.5011,-165.4064,Dredge 7 Inn
26,Guerrero Negro,MX,72.54,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
30,Hithadhoo,MV,80.89,broken clouds,-0.6,73.0833,Scoop Guest House
31,Nikolskoye,RU,66.87,overcast clouds,59.7035,30.7861,Tourist House - Sablino
34,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
41,Xining,CN,77.81,overcast clouds,36.6167,101.7667,Super Leisure Hotel
43,Garissa,KE,73.76,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
44,Hadejia,NG,77.4,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
46,Lafia,NG,71.91,overcast clouds,8.4833,8.5167,Low Cost Housing Estate
48,Soconusco,MX,74.14,broken clouds,17.9667,-94.8667,Motel colina Azul
50,Touros,BR,72.07,few clouds,-5.1989,-35.4608,INN NEW HORIZON
51,Bethel,US,70.11,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
53,Bowen,AU,71.62,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
54,Panorama,GR,78.08,clear sky,40.5878,23.0315,Panorama Hotel
56,Piedra Gorda,PR,81.23,scattered clouds,18.4341,-66.8877,Centro comunal Piedra Gorda
64,Rabat,MA,74.05,fog,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
65,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
66,Hamilton,US,78.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
67,Inhambane,MZ,67.98,scattered clouds,-23.865,35.3833,Oceano
70,Arraial Do Cabo,BR,70.05,clear sky,-22.9661,-42.0278,Pousada Porto Praia
73,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
