,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Qaanaaq,GL,77.484,-69.3632,42.26,65,38,5.97,scattered clouds
1,Cayenne,GF,4.9333,-52.3333,79.09,1,0,3.44,clear sky
2,West Wendover,US,40.7391,-114.0733,78.01,41,20,5.75,few clouds
3,Butaritari,KI,3.0707,172.7902,82.09,73,89,19.98,overcast clouds
4,Coihaique,CL,-45.5752,-72.0662,30.81,93,0,3.44,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,43.88,85,0,2.95,clear sky
6,Luderitz,NA,-26.6481,15.1594,51.48,83,13,1.68,few clouds
7,Boende,CD,-0.2167,20.8667,71.4,86,99,1.97,overcast clouds
8,Port Alfred,ZA,-33.5906,26.891,55.17,60,48,7.27,scattered clouds
9,Dera Bugti,PK,29.0307,69.151,88.23,66,0,5.61,clear sky
10,Jamestown,US,42.097,-79.2353,69.39,75,75,11.5,moderate rain
11,Didsbury,GB,53.417,-2.2315,67.8,95,75,9.22,heavy intensity rain
12,Mar Del Plata,AR,-38.0023,-57.5575,49.08,75,0,8.01,clear sky
13,Ushuaia,AR,-54.8,-68.3,46.06,61,20,8.05,few clouds
14,Rikitea,PF,-23.1203,-134.9692,73.27,74,24,24.7,few clouds
15,Kibala,TD,9.1104,18.3463,70.09,98,100,4.29,light rain
16,Kautokeino,NO,69.0125,23.0412,58.6,73,95,9.15,overcast clouds
17,Praia,CV,14.9215,-23.5087,73.94,83,20,4.61,few clouds
18,Tiksi,RU,71.6872,128.8694,44.2,83,98,6.4,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,64.56,54,20,5.01,few clouds
20,Pisco,PE,-13.7,-76.2167,54.01,87,4,3.44,mist
21,Hilo,US,19.7297,-155.09,75.27,84,40,4.0,light rain
22,Mataura,NZ,-46.1927,168.8643,44.47,75,10,11.43,clear sky
23,Constitucion,CL,-35.3333,-72.4167,47.55,81,26,6.76,scattered clouds
24,Nome,US,64.5011,-165.4064,67.15,77,75,3.44,broken clouds
25,Esperance,AU,-33.8667,121.9,58.84,58,69,33.67,broken clouds
26,Guerrero Negro,MX,27.9769,-114.0611,72.54,75,0,13.56,clear sky
27,Castro,BR,-24.7911,-50.0119,55.9,78,57,1.5,broken clouds
28,Popondetta,PG,-8.7537,148.2534,90.19,46,47,6.91,scattered clouds
29,Albany,US,42.6001,-73.9662,72.01,81,37,3.98,scattered clouds
30,Hithadhoo,MV,-0.6,73.0833,80.89,72,65,13.49,broken clouds
31,Nikolskoye,RU,59.7035,30.7861,66.87,96,100,8.84,overcast clouds
32,East London,ZA,-33.0153,27.9116,47.34,81,0,3.44,clear sky
33,Busselton,AU,-33.65,115.3333,54.46,73,96,24.99,overcast clouds
34,Acapulco,MX,16.8634,-99.8901,82.22,83,75,3.44,broken clouds
35,Cherskiy,RU,68.75,161.3,61.83,77,100,11.5,overcast clouds
36,New Norfolk,AU,-42.7826,147.0587,56.7,68,55,1.99,broken clouds
37,Thompson,CA,55.7435,-97.8558,48.36,87,20,0.0,few clouds
38,Chokurdakh,RU,70.6333,147.9167,57.56,63,92,4.94,overcast clouds
39,Dikson,RU,73.5069,80.5464,41.59,87,100,5.44,overcast clouds
40,Wittmund,DE,53.5667,7.7833,53.22,91,100,7.87,overcast clouds
41,Xining,CN,36.6167,101.7667,77.81,49,93,6.42,overcast clouds
42,Sitka,US,57.0531,-135.33,57.09,88,100,6.91,overcast clouds
43,Garissa,KE,-0.4536,39.6401,73.76,74,46,16.84,scattered clouds
44,Hadejia,NG,12.4498,10.0444,77.4,72,98,16.35,overcast clouds
45,Punta Arenas,CL,-53.15,-70.9167,46.11,65,75,12.66,broken clouds
46,Lafia,NG,8.4833,8.5167,71.91,95,100,4.97,overcast clouds
47,Tasiilaq,GL,65.6145,-37.6368,42.96,67,3,4.41,clear sky
48,Soconusco,MX,17.9667,-94.8667,74.14,90,67,4.52,broken clouds
49,Provideniya,RU,64.3833,-173.3,46.51,93,75,8.95,fog
50,Touros,BR,-5.1989,-35.4608,72.07,85,15,12.62,few clouds
51,Bethel,US,41.3712,-73.414,70.11,95,0,0.0,clear sky
52,Nanortalik,GL,60.1432,-45.2371,45.32,76,100,10.74,overcast clouds
53,Bowen,AU,-20.0167,148.2333,71.62,74,39,13.82,scattered clouds
54,Panorama,GR,40.5878,23.0315,78.08,44,0,5.01,clear sky
55,Bluff,NZ,-46.6,168.3333,44.8,79,41,22.35,scattered clouds
56,Piedra Gorda,PR,18.4341,-66.8877,81.23,89,28,7.0,scattered clouds
57,Aykhal,RU,66.0,111.5,47.3,88,100,17.18,light rain
58,Lasa,IT,46.6166,10.7002,61.68,82,97,2.77,overcast clouds
59,Hermanus,ZA,-34.4187,19.2345,42.8,64,0,7.65,clear sky
60,Aksarka,RU,66.5606,67.7975,65.62,46,15,7.76,few clouds
61,Kodiak,US,57.79,-152.4072,62.11,51,0,11.5,clear sky
62,Amsterdam,NL,52.374,4.8897,61.9,74,0,10.36,clear sky
63,Hobart,AU,-42.8794,147.3294,57.06,55,75,11.5,broken clouds
64,Rabat,MA,33.9911,-6.8401,74.05,99,100,0.0,fog
65,Puerto Ayora,EC,-0.7393,-90.3518,69.55,95,72,14.0,broken clouds
66,Hamilton,US,39.1834,-84.5333,78.24,91,0,9.22,clear sky
67,Inhambane,MZ,-23.865,35.3833,67.98,73,40,4.61,scattered clouds
68,Leningradskiy,RU,69.3833,178.4167,58.15,49,30,2.68,scattered clouds
69,Lazo,RU,43.3817,133.9014,87.39,64,31,5.44,scattered clouds
70,Arraial Do Cabo,BR,-22.9661,-42.0278,70.05,90,7,18.99,clear sky
71,Ancud,CL,-41.8697,-73.8203,42.22,86,11,3.74,few clouds
72,Lavrentiya,RU,65.5833,-171.0,50.81,73,48,5.59,scattered clouds
73,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,20,6.73,few clouds
74,Rapid Valley,US,44.0625,-103.1463,82.15,30,20,9.22,few clouds
75,Aloleng,PH,16.1307,119.7824,82.65,74,100,7.38,overcast clouds
76,Ribeira Grande,PT,38.5167,-28.7,73.96,74,3,11.65,clear sky
77,Kirakira,SB,-10.4544,161.9205,83.34,74,64,9.6,broken clouds
78,Chuy,UY,-33.6971,-53.4616,51.71,94,46,2.89,scattered clouds
79,Otradnoye,RU,59.7775,30.8181,67.03,96,100,8.9,overcast clouds
80,Cockburn Town,TC,21.4612,-71.1419,82.72,74,25,9.33,scattered clouds
81,Port Macquarie,AU,-31.4333,152.9167,65.89,63,3,7.83,clear sky
82,Chuzhou,CN,32.3219,118.2978,94.53,53,0,3.78,clear sky
83,Nokaneng,BW,-19.6667,22.2667,57.09,39,36,10.78,scattered clouds
84,Neuquen,AR,-38.9516,-68.0591,35.49,87,0,4.61,clear sky
85,Chiang Rai,TH,19.9167,99.9167,88.12,82,40,3.44,scattered clouds
86,Ati,TD,13.2154,18.3353,74.35,83,75,5.93,broken clouds
87,Atuona,PF,-9.8,-139.0333,77.45,73,15,16.06,few clouds
88,Sola,VU,-13.8833,167.55,80.69,78,13,17.63,few clouds
89,Port Lincoln,AU,-34.7333,135.8667,52.93,84,100,31.12,overcast clouds
90,Norman Wells,CA,65.282,-126.8329,66.24,45,40,8.05,scattered clouds
91,Vostok,RU,46.4856,135.8833,80.28,51,98,6.4,overcast clouds
92,Finale Ligure,IT,44.1695,8.3436,78.42,69,9,5.01,clear sky
93,Hasaki,JP,35.7333,140.8333,97.2,74,100,11.21,overcast clouds
94,Iquitos,PE,-3.7481,-73.2472,71.64,100,75,0.0,broken clouds
95,Qrendi,MT,35.8347,14.4583,79.11,83,20,1.14,few clouds
96,Port Elizabeth,ZA,-33.918,25.5701,43.09,93,0,2.3,clear sky
97,Adrar,MR,20.5022,-10.0711,84.43,45,45,16.42,scattered clouds
98,Ampanihy,MG,-24.7,44.75,65.08,68,98,13.47,overcast clouds
99,Waipawa,NZ,-41.4122,175.5153,51.78,77,87,19.64,overcast clouds
100,Khorixas,NA,-20.3667,14.9667,38.57,78,0,4.83,clear sky
101,Faanui,PF,-16.4833,-151.75,78.08,73,2,22.37,clear sky
102,Anadyr,RU,64.75,177.4833,66.7,45,0,6.71,clear sky
103,Khani,GE,41.9563,42.9566,71.17,79,51,2.19,broken clouds
104,Vila,PT,42.0304,-8.1588,59.88,57,0,4.03,clear sky
105,Arauca,CO,7.0847,-70.7591,70.57,98,97,3.22,overcast clouds
106,Mizdah,LY,31.4451,12.9801,71.53,79,0,3.24,clear sky
107,Litovko,RU,49.2361,135.1742,84.69,60,6,8.1,clear sky
108,Camacha,PT,33.0833,-16.3333,67.42,73,40,13.8,scattered clouds
109,Kushima,JP,31.4583,131.2333,88.11,67,70,7.81,broken clouds
110,Shiyan,CN,32.6475,110.7781,91.54,57,72,4.18,broken clouds
111,Rawson,AR,-43.3002,-65.1023,42.19,58,15,8.5,few clouds
112,Kallaste,EE,58.655,27.1592,59.23,95,90,11.68,overcast clouds
113,Fortuna,US,40.5982,-124.1573,61.66,86,0,0.0,clear sky
114,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,66.79,64,75,11.18,broken clouds
115,Upernavik,GL,72.7868,-56.1549,45.05,75,100,6.96,overcast clouds
116,Raymond,US,43.9015,-70.4703,68.02,86,19,3.56,few clouds
117,Lerwick,GB,60.1545,-1.1494,57.2,98,100,20.78,moderate rain
