City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2022-07-20 21:07:14,-22.9661,-42.0278,71.46,88,75,9.22
1,Puerto Ayora,EC,2022-07-20 21:02:42,-0.7393,-90.3518,68.56,99,92,8.01
2,Butaritari,KI,2022-07-20 21:05:19,3.0707,172.7902,81.43,78,61,8.86
3,Punta Arenas,CL,2022-07-20 21:02:31,-53.15,-70.9167,33.91,80,75,24.16
4,Yellowknife,CA,2022-07-20 21:07:19,62.456,-114.3525,67.1,39,89,10.51
5,Mar Del Plata,AR,2022-07-20 21:07:05,-38.0023,-57.5575,61.88,60,20,11.01
6,Auki,SB,2022-07-20 21:07:20,-8.7676,160.7034,79.03,81,100,2.77
7,Saint-Philippe,RE,2022-07-20 21:07:20,-21.3585,55.7679,69.39,80,44,13.82
8,Paita,PE,2022-07-20 21:02:46,-5.0892,-81.1144,67.6,72,26,17.18
9,Henties Bay,NA,2022-07-20 21:07:21,-22.116,14.2845,55.29,85,0,6.78
10,Salalah,OM,2022-07-20 21:07:21,17.0151,54.0924,77.09,94,100,5.75
11,Hilo,US,2022-07-20 21:07:22,19.7297,-155.09,84.27,92,100,5.75
12,Monster,NL,2022-07-20 21:07:22,52.0258,4.175,72.95,70,74,9.22
13,Harper,LR,2022-07-20 21:07:23,4.375,-7.7169,75.42,71,99,8.12
14,Port Alfred,ZA,2022-07-20 21:05:26,-33.5906,26.891,56.17,97,100,1.01
15,Yarmouth,US,2022-07-20 21:07:24,41.7057,-70.2286,92.14,69,0,12.66
16,Mahebourg,MU,2022-07-20 21:07:24,-20.4081,57.7,66.25,73,89,20.58
17,Atuona,PF,2022-07-20 21:07:25,-9.8,-139.0333,77.77,74,9,15.12
18,Pachino,IT,2022-07-20 21:07:25,36.7186,15.0907,79.16,69,0,3.91
19,Houlton,US,2022-07-20 21:07:25,46.1262,-67.8403,82.81,34,0,8.05
20,Buraydah,SA,2022-07-20 21:03:23,26.326,43.975,92.35,9,7,8.55
21,Abja-Paluoja,EE,2022-07-20 21:07:26,58.1253,25.3497,55.98,94,13,5.55
22,Haines Junction,CA,2022-07-20 21:07:26,60.7522,-137.5108,53.1,64,100,8.59
23,Sloboda,RU,2022-07-20 21:07:27,51.1421,40.3021,57.58,96,100,4.97
24,Aitape,PG,2022-07-20 21:07:27,-3.1374,142.3475,75.87,88,100,4.45
25,Victoria,HK,2022-07-20 21:06:34,22.2855,114.1577,86.38,85,21,8.99
26,Bluff,NZ,2022-07-20 21:07:28,-46.6,168.3333,39.79,68,100,7.43
27,Lazurne,UA,2022-07-20 21:07:28,46.084,32.5295,72.16,77,44,16.49
28,Saskylakh,RU,2022-07-20 21:07:29,71.9167,114.0833,39.78,81,64,14.05
29,Busselton,AU,2022-07-20 21:07:15,-33.65,115.3333,55.83,94,100,12.66
30,New Norfolk,AU,2022-07-20 21:07:29,-42.7826,147.0587,34.92,89,5,2.44
31,Pavlodar,KZ,2022-07-20 21:07:30,52.3,76.95,66.0,77,75,17.9
32,Khandyga,RU,2022-07-20 21:03:09,62.6667,135.6,71.1,71,0,2.42
33,Cockburn Town,TC,2022-07-20 21:07:30,21.4612,-71.1419,82.26,77,1,20.07
34,Albany,US,2022-07-20 21:04:06,42.6001,-73.9662,96.24,45,51,3.96
35,Severodvinsk,RU,2022-07-20 21:07:31,64.5635,39.8302,64.51,90,14,5.86
36,Severo-Kurilsk,RU,2022-07-20 21:07:31,50.6789,156.125,52.11,97,98,11.79
37,Berlevag,NO,2022-07-20 21:03:11,70.8578,29.0864,57.0,100,75,4.61
38,Limon,CR,2022-07-20 21:07:32,10.0,-83.0333,84.09,79,0,6.91
39,Port-Gentil,GA,2022-07-20 21:04:09,-0.7193,8.7815,75.16,88,75,8.05
40,Roald,NO,2022-07-20 21:06:33,62.5833,6.1333,60.75,94,75,3.44
41,Jalpan,MX,2022-07-20 21:07:33,21.2333,-99.4833,97.68,27,15,6.35
42,Jumla,NP,2022-07-20 21:07:33,29.2747,82.1838,63.86,97,100,1.81
43,Bambous Virieux,MU,2022-07-20 21:02:53,-20.3428,57.7575,66.22,72,98,20.58
44,Qaanaaq,GL,2022-07-20 21:07:34,77.484,-69.3632,41.09,80,100,3.53
45,Ushuaia,AR,2022-07-20 21:07:34,-54.8,-68.3,31.66,86,100,24.16
46,Kapaa,US,2022-07-20 21:04:35,22.0752,-159.319,82.72,72,20,17.27
47,Tuktoyaktuk,CA,2022-07-20 21:07:35,69.4541,-133.0374,47.3,83,100,12.41
48,Rocha,UY,2022-07-20 21:03:15,-34.4833,-54.3333,55.65,91,2,7.65
49,Mataura,NZ,2022-07-20 21:08:36,-46.1927,168.8643,39.47,91,100,2.48
50,Taloqan,AF,2022-07-20 21:08:37,36.7361,69.5345,82.08,19,0,5.01
51,Borovskoy,KZ,2022-07-20 21:08:37,53.8,64.15,58.87,86,0,7.81
52,Poum,NC,2022-07-20 21:08:38,-20.2333,164.0167,75.81,85,100,7.87
53,Uribia,CO,2022-07-20 21:08:38,11.7139,-72.266,93.31,41,8,15.57
54,Thompson,CA,2022-07-20 21:04:30,55.7435,-97.8558,69.96,56,75,17.27
55,Palmer,US,2022-07-20 21:08:39,42.1584,-72.3287,95.56,46,59,1.99
56,Ambilobe,MG,2022-07-20 21:08:40,-13.2,49.05,69.82,65,15,9.37
57,Faanui,PF,2022-07-20 21:08:40,-16.4833,-151.75,77.7,66,0,10.51
58,Bredasdorp,ZA,2022-07-20 21:08:40,-34.5322,20.0403,45.81,87,1,4.76
59,Grajewo,PL,2022-07-20 21:08:41,53.6473,22.4554,60.64,80,71,3.94
60,Carballo,ES,2022-07-20 21:08:41,43.213,-8.691,67.42,85,47,9.98
61,Hithadhoo,MV,2022-07-20 21:08:42,-0.6,73.0833,80.83,69,100,2.13
62,Tongliao,CN,2022-07-20 21:08:42,43.6125,122.2653,69.85,88,100,2.62
63,Saint George,US,2022-07-20 21:05:14,37.1041,-113.5841,110.62,14,0,11.5
64,San Patricio,US,2022-07-20 21:08:43,28.017,-97.5169,95.09,46,7,21.12
65,Upernavik,GL,2022-07-20 21:08:26,72.7868,-56.1549,47.97,70,82,8.52
66,Hermanus,ZA,2022-07-20 21:05:53,-34.4187,19.2345,42.8,67,1,3.36
67,Nouadhibou,MR,2022-07-20 21:03:50,20.931,-17.0347,68.18,94,25,13.53
68,Vaini,TO,2022-07-20 21:08:43,-21.2,-175.2,74.43,78,7,17.72
69,Pangnirtung,CA,2022-07-20 21:08:44,66.1451,-65.7125,48.6,84,100,2.91
70,Ancud,CL,2022-07-20 21:08:44,-41.8697,-73.8203,40.23,65,82,13.56
71,Dhidhdhoo,MV,2022-07-20 21:08:45,6.8833,73.1,79.95,80,100,19.95
72,Khatanga,RU,2022-07-20 21:07:23,71.9667,102.5,45.45,67,100,20.49
73,Jamestown,US,2022-07-20 21:06:06,42.097,-79.2353,89.19,52,75,18.41
74,Paveh,IR,2022-07-20 21:07:16,35.0434,46.3565,76.66,17,0,3.65
75,Chuy,UY,2022-07-20 21:08:46,-33.6971,-53.4616,56.43,94,0,6.15
76,Inverness,GB,2022-07-20 21:08:46,57.4791,-4.224,60.84,76,20,12.66
